"Time","Inserts/s — template1"
2026-04-20 14:19:30,0
2026-04-20 14:19:45,0
2026-04-20 14:20:00,0
2026-04-20 14:20:15,0
2026-04-20 14:20:30,0
2026-04-20 14:20:45,0
2026-04-20 14:21:00,0
2026-04-20 14:21:15,0
2026-04-20 14:21:30,0
2026-04-20 14:21:45,0
2026-04-20 14:22:00,0
2026-04-20 14:22:15,0
2026-04-20 14:22:30,0
2026-04-20 14:22:45,0
2026-04-20 14:23:00,0
2026-04-20 14:23:15,0
2026-04-20 14:23:30,0
2026-04-20 14:23:45,0
2026-04-20 14:24:00,0
2026-04-20 14:24:15,0
2026-04-20 14:24:30,0
2026-04-20 14:24:45,0
2026-04-20 14:25:00,0
2026-04-20 14:25:15,0
2026-04-20 14:25:30,0
2026-04-20 14:25:45,0
