Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/inventory/branch (stock-level),99,0,17,21.420296878811012,9.469145001276047,195.95280199973786,4397.686868686868,0.33030708693746524,0.0,17,20,23,24,27,33,76,200,200,200,200
GET,/reports/balance/branch,76,76,7,7.864654710541991,3.705748998982017,47.355787000924465,61.0,0.2535690768408824,0.2535690768408824,7,7,8,8,10,21,31,47,47,47,47
GET,/reports/balance/branch (remit-check),4,0,11,11.990945999968972,9.458176000407548,14.49766199948499,181.75,0.013345740886362234,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/reports/balance/tenant,5,0,9,9.102661200086004,4.304344000047422,16.100033000839176,121.2,0.016682176107952792,0.0,9,10,10,16,16,16,16,16,16,16,16
GET,/reports/summary,1,0,13.85382400076196,13.85382400076196,13.85382400076196,13.85382400076196,219.0,0.0033364352215905584,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/reports/top-items,6,0,11,11.687803666366866,9.770057000423549,15.46059499924013,1626.5,0.02001861132954335,0.0,12,12,12,12,15,15,15,15,15,15,15
GET,/transactions (order-history),76,0,10,10.889429092051278,5.382835999625968,78.8403999995353,342.1578947368421,0.2535690768408824,0.0,10,11,11,12,14,17,21,79,79,79,79
GET,/transactions/:id,7,0,11,10.799193000431321,9.122308001678903,12.993280000955565,401.42857142857144,0.023355046551133907,0.0,11,11,12,12,13,13,13,13,13,13,13
POST,/transactions/:id/void,5,0,28,26.298704400323913,18.157759999667178,33.79203500117001,119.2,0.016682176107952792,0.0,28,30,30,34,34,34,34,34,34,34,34
POST,/transactions/purchase,50,43,9,11.114220720082812,5.259741999907419,41.295143999377615,210.76,0.1668217610795279,0.143466714528394,9,10,11,13,25,30,41,41,41,41,41
POST,/transactions/purchase-return,4,0,18,21.76442500012854,15.061436999530997,34.464024000044446,121.0,0.013345740886362234,0.0,20,20,34,34,34,34,34,34,34,34,34
POST,/transactions/remit/branch,4,4,11,11.237382249873917,9.495587999481359,14.226212999346899,59.0,0.013345740886362234,0.013345740886362234,11,11,14,14,14,14,14,14,14,14,14
POST,/transactions/return,64,0,21,21.86950431251944,11.609415998464101,57.678160001159995,373.859375,0.21353185418179574,0.0,21,23,23,24,26,30,45,58,58,58,58
POST,/transactions/sale,1177,0,20,20.46836200848608,8.38763200044923,121.89902699901722,434.64231096006796,3.926984255812087,0.0,20,21,23,23,26,29,36,48,110,120,120
POST,/transactions/transfer,68,0,24,23.45157310294192,7.830259999536793,51.67302100016968,438.7352941176471,0.22687759506815797,0.0,24,26,27,28,29,30,45,52,52,52,52
GET,[META] branches,50,0,21,28.503327180114866,11.766536999857635,71.6745070003526,1595.0,0.1668217610795279,0.0,21,27,28,46,61,64,72,72,72,72,72
GET,[META] inventory/branch,241,0,23,26.921658502078383,8.81792200016207,234.33991000092647,26516.941908713692,0.8040808884033245,0.0,23,25,28,31,39,45,53,81,230,230,230
GET,[META] items,50,0,22,23.81826827997429,11.026584999854094,50.23288499978662,9645.72,0.1668217610795279,0.0,22,25,27,29,32,34,50,50,50,50,50
GET,[META] suppliers,50,0,12,12.925780899931851,6.247403000088525,22.213248999833013,1538.0,0.1668217610795279,0.0,13,14,14,16,18,19,22,22,22,22,22
GET,[META] warehouses,50,0,11,11.462793840037193,6.372038998961216,18.462443000316853,309.2,0.1668217610795279,0.0,11,13,13,14,15,16,18,18,18,18,18
,Aggregated,2087,123,19,20.137723609966766,3.705748998982017,234.33991000092647,3882.2712026832774,6.963140307459495,0.41038153225563867,19,22,23,24,27,33,46,57,200,230,230
