"Time","Inserts/s — template1"
2026-04-20 14:03:00,0
2026-04-20 14:03:15,0
2026-04-20 14:03:30,0
2026-04-20 14:03:45,0
2026-04-20 14:04:00,0
2026-04-20 14:04:15,0
2026-04-20 14:04:30,0
2026-04-20 14:04:45,0
2026-04-20 14:05:00,0
2026-04-20 14:05:15,0
2026-04-20 14:05:30,0
2026-04-20 14:05:45,0
2026-04-20 14:06:00,0
2026-04-20 14:06:15,0
2026-04-20 14:06:30,0
2026-04-20 14:06:45,0
2026-04-20 14:07:00,0
2026-04-20 14:07:15,0
2026-04-20 14:07:30,0
2026-04-20 14:07:45,0
2026-04-20 14:08:00,0
2026-04-20 14:08:15,0
2026-04-20 14:08:30,0
2026-04-20 14:08:45,0
2026-04-20 14:09:00,0
2026-04-20 14:09:15,0
2026-04-20 14:09:30,0
2026-04-20 14:09:45,0
2026-04-20 14:10:00,0
2026-04-20 14:10:15,0
2026-04-20 14:10:30,0
2026-04-20 14:10:45,0
2026-04-20 14:11:00,0
2026-04-20 14:11:15,0
2026-04-20 14:11:30,0
2026-04-20 14:11:45,0
2026-04-20 14:12:00,0
2026-04-20 14:12:15,0
