"Time","Locks — accessexclusivelock"
2026-04-19 13:46:15,0
2026-04-19 13:46:30,0
2026-04-19 13:46:45,0
2026-04-19 13:47:00,0
2026-04-19 13:47:15,0
2026-04-19 13:47:30,0
2026-04-19 13:48:00,0
2026-04-19 13:48:15,0
2026-04-19 13:48:30,0
2026-04-19 13:48:45,0
2026-04-19 13:49:00,0
2026-04-19 13:49:15,0
2026-04-19 13:49:30,0
2026-04-19 13:50:15,0
2026-04-19 13:50:30,0
2026-04-19 13:50:45,0
2026-04-19 13:51:00,0
2026-04-19 13:51:15,0
2026-04-19 13:51:30,0
2026-04-19 13:51:45,0
2026-04-19 13:52:00,0
2026-04-19 13:52:15,0
2026-04-19 13:52:30,0
2026-04-19 13:52:45,0
2026-04-19 13:53:00,0
2026-04-19 13:53:15,0
2026-04-19 13:53:30,0
2026-04-19 13:53:45,0
2026-04-19 13:54:00,0
2026-04-19 13:54:15,0
2026-04-19 13:54:30,0
2026-04-19 13:54:45,0
2026-04-19 13:55:00,0
2026-04-19 13:55:15,0
2026-04-19 13:55:30,0
2026-04-19 13:55:45,0
2026-04-19 13:56:00,0
2026-04-19 13:56:15,0
2026-04-19 13:56:30,0
2026-04-19 13:56:45,0
2026-04-19 13:57:00,0
2026-04-19 13:57:15,0
2026-04-19 13:57:30,0
2026-04-19 13:57:45,0
2026-04-19 13:58:00,0
2026-04-19 13:58:15,0
